"Reference number",Title,URL,"Date of submission",Countries,"Request proponent","Request proponent URL","Geographical scope",Objective,Sectors,"Cross-sectoral enabler",Approach,"Final type of assistance",Phase,Regions,"Request NDE","Duration range","Budget range",Implementors,"Other partners involved","CTCN Keyword Matches",Description,Planners,"Planners URL","Sustainable Development Goals","Relevant technologies"
2020000008,"The Technology Needs Assessment (TNA) and Technology Action Plans (TAPs) for Republic of Uzbekistan",https://www.ctc-n.org/technical-assistance/projects/technology-needs-assessment-tna-and-technology-action-plans-taps,"Tue, 03/24/2020",Uzbekistan,,,National,"Adaptation, Mitigation",,"Governance and planning",,"Technology identification and prioritisation",Design,,"Centre of Hydrometeorological Service",,,,,,"Context
Uzbekistan has а gепеrаllу dry climate and usually divided into two climatic zопеs of the dеsегt and steppe climate in the wеstеrп раrt and the temperate climate with humid winters iп the еаstеrп раrt. The country has heavily dependent оп agriculture, соmргisiпg аrоuпd 18 регсепt of total gross domestic product (GDP) which is ргimагilу based оп cotton апd wheat production. Uzbekistan still faces significant challenges with desertification, wаtеr scarcity апd changes in weather раttегпs that would shift the growing season. Given the drу weather with irrеgulаr ргесiрitаtiоп раttеrпs, water is опе of the country's most рrесiоus геsоurсеs.
This Technology Needs Assessment (TNA) ргоjесt is the fiгst fоr Uzbekistan which will engage iпtегпаtiопаl ехреrts.
CTCN Support
To conduct Technology Needs Assessment fоr climate change mitigation and adaptation iп Uzbekistan in the most vulпеrаЬlе есопоmiс sесtоrs, паmеlу agriсulturе, wаtег, etc. lt also seeks technical guidance fоr the diffeгent activities rеquirеd to conduct the TNA рrосеss, including tгаiпiпg оп the TNA рrосеss, methodologies and quality сопtrоl
Expected Impact
The anticipated outcomes are envisioned to present strategies for long-term, participatory transformational measures across the identified and prioritized sectors that will drive climate resilient and low carbon growth. A key outcome also involves strengthening country capacity.",,,,
2020000005,"Defining Uganda's vulnerability index and updating national level indicators for measuring resilience",https://www.ctc-n.org/technical-assistance/projects/defining-ugandas-vulnerability-index-and-updating-national-level,"Mon, 02/17/2020",Uganda,,,National,Adaptation,"Early warning and Environmental assessment","Governance and planning","Disaster risk reduction","Decision-making tools and/or information provision",Implementation,,"Ministry of Science, Technology and Innovation",,,,,,"Context
Uganda is highly sensitive to climate change and is already experiencing the impacts through increased frequency and intensity of disasters such as droughts, floods and landslides in recent years. Historic records show a decreasing trend in rainfall, but downscaled climate models predict a probable increase in precipitation during the short rainy season as well as a potential increase in extreme events. The Government has set an ambitious goal for its development, aiming to transform into a modern, middle-income country by 2040. The National Climate Change Policy (2015) is aimed at ensuring national development that is climate change resilient (Uganda National Development Plan 2015/16). Climate change mainstreaming has started with five priority sectors: agriculture, water, infrastructure, energy and lands. Understanding regional climate change impacts and assessing vulnerabilities across different sectors is crucial to effectively prepare for future risks imposed by climate change. Such an assessment enables practitioners and decision-makers to identify the most vulnerable areas, sectors and social groups and develop targeted interventions to mitigate the risk.
CTCN Support
To strengthen the capacity of Uganda to address climatic vulnerabilities, and to plan, implement, monitor, and evaluate effective and efficient resilience actions in a transparent manner; establishing transparent and flexible systems for monitoring, evaluation, and learning of resilience
Expected Impact
Improved ability to measure climatic vulnerabilities in selected/prioritised sectors
Enhanced capacity to develop and assess national vulnerability indices for selected/prioritised sectors
Improved national indicators system in measuring resilience
Improved monitoring and evaluation of resilience, including the appraisal of their costs and benefits
Enhanced ability to track the effectiveness of resilience interventions and finance in accomplishing desired outcomes
Improved understanding of nationally and globally effective practices and relevant circumstances that lead to their success
Enhanced transparency and accountability by providing an underpinning for the legitimacy of public policies, and of public and private adaptation spending",,,,
2020000004,"Updating of Technology Needs Assessment (TNA) and Technology Action Plan (TAP) for the implementation of NDC",https://www.ctc-n.org/technical-assistance/projects/updating-technology-needs-assessment-tna-and-technology-action-plan,"Fri, 01/17/2020","Côte d’Ivoire","Sustainable Environment and Energy Development Consulting Centre SEED CC","Sustainable Environment and Energy Development Consulting Centre SEED CC",National,"Adaptation, Mitigation",,"Capacity building and training, Economics and financial decision-making, Governance and planning","Endogenous technologies","Sectoral roadmaps and strategies",Implementation,,"Sustainable Environment and Energy Development Consulting Center",,,,,,"Context
Cote D'Ivoire plans to conduct its Technology Needs Assessment (TNA) with a Technology Action Plan (TAP), in view of the implementation of its Nationally Determined Contribution (NDC). Technology transfer will have impact toward reducing vulnerability of the population hence increased resilience to climate change and well as steering the country towards a low carbon development path.
CTCN Support
To develop a TNA to identify and prioritize technology transfer and diffusion for climate change mitigation and adaptation in key sectors in Cote D'Ivoire.
Expected Impact
This work will enable Cote D'Ivoire to organise its process for establishing a technology needs assessment, contribute directly to ongoing country programming process, establish a coordination mechanism and thereby aid the prioritization of actions and sectors that can be used by the government to develop its pipeline of projects to be submitted to the Green Climate Fund.
The anticipated outcomes are envisioned to present strategies for a long-term, participatory transformational measures across the identified and prioritised sectors that will drive climate resilient and low carbon growth. A key outcome also involves strengthening country capacity.",,,,
2020000001,"Strengthening the National Disaster Management Agency’s (NDMA) application of UAV and Remote sensing technology for vulnerability assessments and response planning",https://www.ctc-n.org/technical-assistance/projects/strengthening-national-disaster-management-agency-s-ndma-application,"Thu, 01/16/2020",Eswatini,"National Disaster Management Agency (NDMA) of Eswatini","National Disaster Management Agency (NDMA) of Eswatini",National,Adaptation,Agriculture,"Communication and awareness","Community based, Disaster risk reduction","Feasibility of technology options",Completed,,"Ministry Tourism and Environmental Affairs, Meteorology Department",,,,,,"Context
The Kingdom of Eswatini is a landlocked country between South Africa and People’s Republic of Mozambique. The country faces numerous challenges such as poverty, chronic food insecurity, HIV/AIDS and climate-related disasters that include droughts, storms and floods and invasive plant and diseases. According to Eswatini's Third National Communication to the UNFCCC, between 1961 and 2010 there is an upward trend in mean annual temperature across the different parts of the country and a decrease in seasonal rainfall and an increase in frequencies of dry spells.
Projections show that Eswatini will continue to get warmer and rainfall will continue to be uncertain and difficult to predict. The country has a low level of awareness of the threats of climate change and faces capacity and technology constraints to address climate change challenges and adaptation to climate change. Though the country experiences chronic food insecurity, vulnerability assessment information still relies on preplanting and post-harvest assessments, and the country lacks continuous crop growth monitoring and assessment tools and technologies for quick and early detection of undesirable threats and occurrence of risks and hazards to food security.
CTCN Support
To strengthen Eswatini’s vulnerability assessments including the agricultural sector by building scientific and technical capacities within the National Disaster Management Agency (NDMA) on the application of UAV technology and remotely sensed imagery for crop monitoring and early warning systems, as a climate change adaptation intervention.
Expected Impact
Improved the country’s early warning capabilities through the integration of UAV technology. The outcome would be enhanced early warning, which will help farmers reduce losses and enhance yields which will promote food security, benefitting both men and women in farm households. Thus, the vulnerability will be reduced, enhancing climate change adaptation in the country.",,,,
2019000050,"Identification of the most suitable direct use applications and technologies in low to medium temperature geothermal systems in six African countries",https://www.ctc-n.org/technical-assistance/projects/identification-most-suitable-direct-use-applications-and-technologies,"Fri, 08/30/2019","Djibouti, Ethiopia, Kenya, Rwanda, Tanzania, Uganda",,,"Other multi-country",Mitigation,,"Capacity building and training, Economics and financial decision-making","Endogenous technologies","Feasibility of technology options",Completed,,"Direction de l’Aménagement du Territoire et de l’Environnement, Kenya Industrial Research and Development Institute, Ministry of Environment and Forest, Ministry of Science, Technology and Innovation, Rwanda Environment Management Authority, Tanzania Commission for Science and Technology",,$200-250k,,,,"Context
The technical assistance for direct use of geothermal energy in low to medium temperature geothermal systems was requested by six African countries in the Eastern Africa region. The countries lie within the Great East African Rift Valley (both at the eastern and western branches), a region that possesses a remarkable geothermal energy resource potential that can be used for power generation and direct use application.
The region, save for Kenya and slightly Ethiopia, taking advantage of the resource in terms of what-Power generation or direct use. The main challenges attributed to this slow uptake being limited financial, technical expertise and inadequate policy and legal framework to guide the energy sector. Most of the countries however have conducted various surface exploration of the geothermal resources. These studies include inventories of potential geothermal resources sites and geoscientific studies to establish the existence of viable geothermal systems for direct and indirect utilization. The technical assistance is thus expected to take advantage of these pre-existing data and information.
CTCN Support
To conduct a study on direct use applications of geothermal energy (development of implementation planning and communication documents, identification of the most suitable direct use applications, identification of direct use geothermal energy harnessing technologies, market and economic assessment on the viability of the identified technologies, capacity building on the identified technologies)
Expected Impact
Strengthened capacity of national geothermal experts through training and regional knowledge sharing. The implementation of the assistance will see accelerated efforts in the region to utilize geothermal energy. The pre-feasibility study will inform the decision makers on the viability of the resource and develop a clear and harmonized policies and means of implementation that leads to action.",,,,
2020000009,"Developing a power to gas masterplan in Lao PDR",https://www.ctc-n.org/technical-assistance/projects/developing-power-gas-masterplan-lao-pdr,"Fri, 03/13/2020",Laos,,,National,Mitigation,"Renewable energy","Capacity building and training, Governance and planning","Endogenous technologies, Gender","Sectoral roadmaps and strategies",Implementation,,"Ministry of Natural Resources and Environment, Department of Disaster Management and Climate Change",,,"Global Environment Centre Foundation",,,"Context
Due to its relatively high annual rainfall and the geographical proximity to the Mekong River, Laos PDR has been providing most of the country’s electricity from hydro electricity generation. On the other hand, the country is also experiencing an increasing demand for and reliance on imported fossil fuels for the transport and industry sectors, contributing to a CO2 emission that is expected to rise to 526,000 tons per year by 2030. Laos has been striving to deploy various technologies to increase the share of renewable energy within the country, as illustrated in the National Determined Contributions (2015) and the Renewable Energy Development Strategy in Lao PDR (2011).
Various ministries, including the Ministry of the Energy and Mines and the Ministry of Natural Resources and Environment, are beginning to explore ways to undertake feasibility and demonstration studies on the power-to-gas technology to produce hydrogen and methane fuels. At the same time, as a country with no existing source of natural gas within its borders, Laos currently lacks gas-related laws, regulations, and infrastructure to allow commercial use of hydrogen and methane produced via power-to-gas process.
CTCN Support
To produce a masterplan that will allow the relevant stakeholders to understand what steps are needed to be taken in order to operationalize power-to-gas technology on a commercial basis in the future
Expected Impact
The masterplan will serve as a map for further detailed and actionable roadmaps, strategies, and action plans to create regulations and other policy measures to support the development and management of production, storage, distribution, and usage of green gases produced via the power-to-gas technology, as well as other actions necessary to deploy the technology at a commercial basis, including conducting technical and commercial feasibility studies, piloting, and other relevant research activities as necessary.
 ",,,"Affordable and clean energy, Climate action",
2020000003,"The Technology Needs Assessment (TNA) and Technology Action Plans (TAPs) for the Kyrgyz Republic",https://www.ctc-n.org/technical-assistance/projects/technology-needs-assessment-tna-and-technology-action-plans-taps-0,"Mon, 01/20/2020",Kyrgyzstan,,,National,"Adaptation, Mitigation","Energy efficiency","Communication and awareness, Economics and financial decision-making, Governance and planning","Community based, Disaster risk reduction, Ecosystems and biodiversity, Gender",,Implementation,,"The Climate Finance Center of the Kyrgyz Republic",,,,,,"Context
The Kyrgyz Republic is a land locked and lower-middle-income country of 6,3 million population endowed with natural resources including minerals, glaciers, arable land, forestry and pastures. The country is the third most vulnerable to climate change impacts in Eastern Europe and Central Asia, due to its dependency on and sensitivity of agricultural systems.
CTCN Support
To conduct Technology Needs Assessment (TNA) for climate change mitigation and adaptation in the Kyrgyz Republic in most vulnerable economic sectors (agriculture, energy, water, disaster risk management/emergencies and municipal infrastructure)
Expected Impact
The appropriate climate technologies will serve as practical means to achieve mid-term and long-term targets for climate-resilient country",,,,
2020000013,"Development of energy audit and reporting guidelines for calculation of the emission factors for fossil fuel power plants",https://www.ctc-n.org/technical-assistance/projects/development-energy-audit-and-reporting-guidelines-calculation,"Wed, 05/13/2020",Vietnam,,,National,Mitigation,"Energy efficiency","Capacity building and training, Governance and planning","Endogenous technologies","Sectoral roadmaps and strategies",Design,,"Ministry of Natural Resources and Environment of Vietnam",,,,,,"Context
In 2014, the energy sector contributed 53.4% of total greenhouse gas (GHG) emissions in Viet Nam. The energy sector in general and power generation in particular plays an important role for achieving the target of reducing greenhouse gas emissions under the Nationally Determined Contributions (NDC).
Regular GHG Inventory is required to monitor and evaluate the implementation of the objectives of the Climate Change Convention. Currently, according to the guidance of the UNFCCC, the emission factor of Viet Nam grid electricity is calculated based on the tool from the year 2010.
 Developing the emission factors (EF) of the greenhouse gas from thermal power plants will support the implementation of the GHG inventory in the power sector, for setting up the roadmap, assessment and monitoring of the CO2 reduction activities in each thermal power plant as well as a whole power sector.
CTCN Support
Develop guidelines for audit and calculation of the emission factors (EF) of fossil fuel thermal power plants to enhance the quality of GHG inventory activities in the energy sector
Expected Impact
Technical report about the EF methodology calculation
Full energy audit reports for 02 fossil fuel plants
Technical report about GHG inventory and EF development for fossil fuel thermal power plants",,,"Industry, innovation and infrastructure, Climate action",
2020000019,"Application of the gravity-driven membrane (GDM) technology for supplying sustainable drinking water to rural communities",https://www.ctc-n.org/technical-assistance/projects/application-gravity-driven-membrane-gdm-technology-supplying,"Fri, 06/12/2020",Cambodia,,,National,Adaptation,Water,"Governance and planning","Community based, Disaster risk reduction, Gender","Piloting and deployment of  technologies in local conditions",Implementation,,"Ministry of Environment - National Council for Sustainable Development",,,"Gwangju Institute of Science and Technology",,,"Context
Cambodia has limited access to high water quality and hygiene. Although there has been an improvement in urban areas, most rural areas still have difficulties in water and sanitation access. Sufficient supply of safe water (including drink water) is crucial for rural people and would enable them to adapt to climate change, particularly in the prolonged drought situation that have occurred in Cambodia.
Safe drinking water supply was one of the prioritized concerns in the National Adaptation Programme of Action to Climate Change (NAPA). Among 20 prioritized NAPA projects, ‘Safer water supply for rural communities’ was included in which wells/ponds were constructed in selected areas, and locally made water filters were provided by non-governmental organizations (NGOs).
CTCN Support
Implement a low-cost, sustainable, locally suitable gravity-driven membrane (GDM) technology for safe drinking water supply to rural communities:
Overall review of drinking water quality and scarcity in rural Cambodia (literature review);
 Site selection to install and test a GDM technology for drinking water supply at community levels;
 Quality analysis of drinking water sources in the selected site(s) and design of GDM filtration to be applied;
Installation of the GDM technology in the selected site(s);
Capacity building workshop on sustainable management of the GDM technology at community levels;
Monitoring and evaluation of drinking water quality provided from the GDM technology in the selected site(s);
Cost-benefit analysis of applying the GDM technology for drinking water supply at community levels in rural Cambodia;
Assessment of drinking water consumption patterns and health survey in the selected site(s)
Expected Impact
Reduced risk of drinking water scarcity in rural Cambodia caused by climate change and frequent drought conditions.","Gwangju Institute of Science and Technology","Gwangju Institute of Science and Technology",,
2020000007,"Developing a national framework for deploying and scaling up e-mobility",https://www.ctc-n.org/technical-assistance/projects/developing-national-framework-deploying-and-scaling-e-mobility,"Tue, 03/17/2020",Zimbabwe,,,Sub-national,Mitigation,Transport,"Economics and financial decision-making, Governance and planning",,"Sectoral roadmaps and strategies",Completed,,"Climate Change Management Department, Ministry of Environment, Water & Climate",,,,,,"Context
Globally, the number of motorized vehicles is estimated to reach between 2 and 3 billion vehicles by 2050 with a significant number located in developing countries like Zimbabwe. Zimbabwe's motor vehicle fleet has been growing at a fast rate especially after the year 1990. The Zimbabwe Climate Change Response Strategy further identified that the nation's transport sector consumes over 1 billion liters of diesel and over 730 million liters of petrol annually. Part of the energy emissions come from the use of petroleum products in the transport sector.
Electric-Mobility is globally recognized as a viable and attractive option that can help the country redress the adverse issues faced with the conventional transportation system. In light of the significant contribution of the Zimbabwe transportation sector to the nation's greenhouse gas (GHG) emissions, the adoption of eclectic mobility as a substitute for fossil fuel vehicles was noted to deliver significant cost-effective GHG reductions. The shift also has the potential to offer important co-benefits such as reduced energy imports, green growth and local job creation. Zimbabwe has also discovered large deposits of lithium which could be useful in e-mobility thus reducing emissions and also increasing adaptation through increased incomes from the proceeds of the mining
CTCN Support
To develop national e-mobility and implementation framework for Zimbabwe for deployment and scaling-up of electric transportation systems:
Assessment of the market readiness to deploy electric transportation systems in Zimbabwe and draft the e-mobility framework
Conduct policy review to recommend the implementation roadmap for deployment and upscaling of the electric-mobility and supporting charging infrastructure on the basis of local context and develop a framework
Conduct a detailed feasibility study on selected action plans to develop a business case on procuring and deploying electric vehicles and charging infrastructure
Conduct capacity building and awareness of relevant stakeholders from government and electric-mobility value chain
Expected Impact
Reduced heavy reliance on fossil-based liquid fuels in the transport sector and diversified the country’s energy mix with low carbon resources.",,,"Sustainable cities and communities, Climate action",
2020000010,"Developing a national policy for deploying and scaling up e-mobility",https://www.ctc-n.org/technical-assistance/projects/developing-national-policy-deploying-and-scaling-e-mobility,"Thu, 04/02/2020",Ghana,"Ministry of Road and Transport, Ghana","Ministry of Road and Transport, Ghana",National,Mitigation,Transport,"Governance and planning","Endogenous technologies","Sectoral roadmaps and strategies",Implementation,,"Environmental Protection Agency",,,,,,"Context
The capital city of Accra with 4% of the population growth rate is one of the fastest urbanizing cities in Sub-Saharan Africa. The economic expansion coupled with urbanization and population growth has led to a rapid increase in the number of road transport. According to the estimates, the Accra alone hosts more than 50% of total registered vehicles nationwide, which is 1,134,599 vehicles (EPA, 2017). The most frequently used modes of road transports are private cars, taxis, mini-bus (tro-tro) and buses. In 2016, GHG emissions by the transport sector were estimated to have a 7% increase relative to the levels reported in 2012. In addition, the emissions from the transport sector alone make up 47% of emissions from the entire energy sector.
Recognizing various climate risks in relation to energy and transport sector nationwide, the country’s INDC submitted in 2015 noted the transport sector as one of the priority areas for actions and specified to ‘Scale up sustainable mass transportation’ by expanding inter and intra city mass transportation modes in 4 cities including Accra with improved fuel efficiency. E-mobility is globally recognized as a viable and attractive option that can help the country redress the adverse issues faced with the conventional transportation system.
CTCN Support
Assist in drafting national policy and implementation framework on e-mobility to increase urban resiliency and create new green business opportunities:
Assessment of the market readiness to deploy electric vehicles in Ghana and draft the national policy on e-mobility
Conduct policy review to recommend the implementation roadmap for deployment and upscaling of the electric vehicles and supporting charging infrastructure on the basis of local context and develop a framework
Conduct a detailed feasibility study on selected action plans to develop a business case on procuring and deploying electric vehicles and charging infrastructure
Conduct capacity building and awareness of relevant stakeholders from government and EV value chain 
Expected Impact
Reduced heavy reliance on fossil-based liquid fuels in the transport sector and diversified the country’s energy mix with low carbon resources.",,,"Industry, innovation and infrastructure, Sustainable cities and communities, Climate action",
2020000012,"Capacity assessment on local grid integration of solar or renewable energy",https://www.ctc-n.org/technical-assistance/projects/capacity-assessment-local-grid-integration-solar-or-renewable-energy,"Wed, 05/06/2020",Cambodia,,,National,Mitigation,"Renewable energy","Capacity building and training, Governance and planning","Endogenous technologies, Gender","Piloting and deployment of  technologies in local conditions",Completed,,"Ministry of Environment - National Council for Sustainable Development",,,,,,"Fast Technical Assistance
Context
Cambodia is vulnerable to the impacts of climate change. Although the Government has tried the utmost effort to install and contract electricity line rural areas, there is still no still access to the national grid. To meet the objectives of the Government to access to electricity consumption, off-grid (solar, battery, kerosene lamp) has been introduced, especially in the remote areas.
With the increasing population and economic growth, more electricity is needed and the Government has committed to exploring possible energy options.
CTCN Support
•    Provide a better understanding of the achievable levels of renewable energy integration;
•    Develop capacity to conduct grid stability assessment;
•    Develop a comprehensive methodology for the grid stability assessment;
•    Provide technological options for grid stability and renewable energy integration.
Expected Impact
Enhanced capacity to transition to renewable energy and energy efficiency.",,,"Affordable and clean energy, Climate action",
2020000020,"Development of climate change adaptation strategy for Buir Lake",https://www.ctc-n.org/technical-assistance/projects/development-climate-change-adaptation-strategy-buir-lake,"Mon, 06/15/2020",Mongolia,,,Sub-national,Adaptation,Water,"Governance and planning","Ecosystems and biodiversity","Sectoral roadmaps and strategies",Design,,"Climate Change and International Cooperation Department,  Ministry of Environment and Tourism of Mongolia",,,,,,"Context
Mongolia is in the arid and semi-arid region; therefore, the amount of precipitation generally is low. The larger part of precipitation falls in the warm season and only below 3% of winter precipitation falls as snow. The spatial distribution of precipitation in Mongolia is very specific due to a vast area, land composition, roughness and geographical peculiarity.
Climate change studies show that a near-surface temperature and its annual mean over Mongolia have increased by 2.24° C between 1940-2016 periods. Climate change impacts on water resources have been visible; surface water resources have been declining over the years as numbers of lakes been dried out.
At the national level, Mongolia has adequate exploitable water resources to meet water demand up to 2030 as per current research. However, there are challenges at certain local levels:
Potential water shortages in dry months due to limited exploitable surface water resources caused by major seasonal disparities in rainfall patterns, as well as environmental flow requirements of 90-95% of the average surface water flow;
Low quality and usability of certain surface water resources caused by the discharge of CTCN Technical Assistance Request Submission Form untreated municipal and industrial effluent to water bodies;
Low quality of ground water in shallow wells and temporary ponds due to washed pollutants and minerals from surface;
Limited potential for development of surface water resources, such as hydropower and irrigation dams and for water transfers
There have been previously done a couple pilot or project scale activities in addressing ecosystem-based water management but, the approach needs to be further studied and evaluated in alignment with national planning. Overall, due to the complexity of this issue, lack of technical capacities at the national and local levels as well as the relative new concept of climate impact assessments, baseline settings, ecosystem-based approaches, sustainable water resources management has not yet been advanced in its implementation.
CTCN Support
Conduct an assessment to enhance climate resilience and adaptation, water security for local populations, and sustainability of the ecosystem services of the highly vulnerable ecosystem and its dependent population in semi-arid area of Buir Lake in Mongolia:
Improving data and information availability for decision-making relating to Buir Lake baseline;
Conduct climate change impact and vulnerability analysis;
Develop a climate change adaptation roadmap for Buir Lake;
Training and capacity building.
Expected Impact
Established the information base and local capacity for decision making in addressing the climate challenges in Buir Lake. This technical assistance will also provide a  basis for the development of a draft Concept Note for the Green Climate Fund for upscaling activities in a broader area.","UNEP-DHI Partnership – Centre on Water and Environment","UNEP-DHI Partnership – Centre on Water and Environment",,
2020000016,"OTEC: Ocean Energy Technical Pre-Feasibility Study",https://www.ctc-n.org/technical-assistance/projects/otec-ocean-energy-technical-pre-feasibility-study,"Wed, 06/03/2020",Nauru,,,National,Mitigation,"Renewable energy","Capacity building and training, Economics and financial decision-making, Governance and planning","Disaster risk reduction, Endogenous technologies, Gender","Feasibility of technology options",Completed,,"Ministry of Commerce, Industry and Environment",,,,,,"Context
Ocean Thermal Energy Conversion (OTEC) are found to be competitive in various markets in coastal and island countries, globally. Amongst the various markets worldwide, the Pacific Island countries are expected to be most promising pertaining to the cost of oil-fired power, the demand for desalinated water, potential of aquaculture and the social benefits of this clean energy technology.  Furthermore, the enormous potential of ocean energy in Nauru is long known as the world’s first OTEC pilot plant was set up in Nauru by the Japanese Tokyo Electric Power company in 1981. It was the highest power OTEC plant ever operational and the first and last to feed power to an operating commercial grid. Due to extreme weather events, this OTEC plant is not operational anymore because of the damage made to the plant pipes.
Since the installation of the OTEC pilot plant in 1981, there have been significant improvements in OTEC technology and design, with side benefits such as the production of large amounts of fresh water. With the very rapid drop-off beyond the reef in Nauru, there is an opportunity for OTEC energy development in the country. Construction techniques have now also improved to become climate-proof. However, the Republic of Nauru lacks technical and financial resources as well as in-country expertise to conduct a pre-feasibility study and assess the potential of OTEC in comparison to other ocean energy possible solutions.
The main contribution of the Republic of Nauru to climate change mitigation is the implementation of its Energy Road Map (NERM) 2014-2020 in order to reduce greenhouse gas emissions and achieve energy security by reducing reliance on imported fuel.
The specific targets of the NERM by 2020 are:
• 50% of grid electricity supplied from renewable energy sources;
• a 30% improvement in energy efficiency in the residential, commercial and government sectors.
In order to achieve these objectives, as the Republic of Nauru has limited land due to existing, intense phosphate mining, alternative renewable energy options (such as ocean energy) need to be assessed and mapped.
CTCN Support
To collect in-site data and conduct a technical, socio-economic and financial analysis of an OTEC plant project in comparison to other ocean energy potential solutions.
Expected Impact
This pre-feasibility study will collect data and assess the technical, socio-economic and financial potential of different ocean energy technologies (wave, tidal and thermal) aligned with the requirement to fill the template for the Green Climate Fund (GCF) concept note. Because of the absence of water supply in Nauru, the major contribution of usable water is generated using electricity powered reverse osmosis systems and is delivered by diesel powered trucks. OTEC technology could provide very valuable by-products such as freshwater or nutrient rich cold water (improving marine life or aquaculture practices). 
 ",,,"Clean water and sanitation, Affordable and clean energy, Climate action",
2020000024,"Technical and economic feasibility of solar milling in women-led agri-food SMEs",https://www.ctc-n.org/technical-assistance/projects/technical-and-economic-feasibility-solar-milling-women-led-agri-food,"Thu, 08/06/2020",Senegal,,,Sub-national,Mitigation,"Renewable energy","Communication and awareness, Economics and financial decision-making",Gender,,Completed,,"Centre d’Etudes et de Recherches sur les Energies Renouvelables",,,,,,"FAST TECHNICAL ASSISTANCE
Context
The effects of climate change – recurring droughts, soil salinity and floods – are being felt keenly in the agricultural sector and preventing vulnerable population groups from achieving food security. Much of the equipment used in the sector is in a state of disrepair and little agricultural produce is processed.
Government measures and policies on economic and social development, especially in the rural sector, place a strong emphasis on training for youth and women in agriculture. Senegal’s first Nationally Determined Contribution (NDC) also addresses the rural energy transition and the shift to renewables in refrigeration and food processing. In spite of these policies, achieving the food security and job creation targets assigned to this sector remains a challenge, in part due to a lack of access to appropriate, affordable and climate-resilient energy equipment.
The number of micro-businesses and small businesses is growing rapidly in Senegal, across both urban and rural areas. Most of these new businesses are involved in food processing. Processing (milling) of cereals (millet and maize) is a dominant activity practised by a large number of women, who produce a wide variety of products such as couscous, meal, grains and flour. However, these businesses struggle to access the technologies they need to reduce their carbon footprint and improve the quality of their products so they can sell them through more lucrative channels (supermarkets, exports).
CTCN Support
To help micro-businesses and small businesses access clean, affordable, locally manufactured energy technologies, and to set up a system in which equipment is monitored and maintained by women and youth:
Technology Needs Assessment;
Market research;
Technical feasibility study;
Economic feasibility study;
Evaluation and communication.
Expected Impact
Improved processing methods, with a particular focus on milling, also cut greenhouse gas emissions and build more climate-resilient communities by making beneficiary small businesses and SMEs more profitable and by creating jobs for women and youth in order to boost the local economy. ",,,,
2020000027,"Identification of a climate research agenda to include collaboration with academia in Jamaica",https://www.ctc-n.org/technical-assistance/projects/identification-climate-research-agenda-include-collaboration-academia,"Fri, 05/29/2020",Jamaica,,,National,"Adaptation, Mitigation",Cross-sectoral,"Communication and awareness, Governance and planning","Community based","Research and development of technologies",Completed,,"Ministry of Economic Growth and Job Creation","6-12 months",,"Tropical Agricultural Research and Higher Education Center",,,"Context
Jamaica´s energy matrix shows a distinct dependence on fossil fuels, which makes it challenging to move forward in complying with the NDCs goals. However, the transformation of the energy matrix faces many challenges. For electricity generation the adoption of environmentally friendly technologies, for example, during the generation and storage of energy, is limited by the high costs involved in acquiring equipment, which limits its diffusion, in addition to facing grid integration problems. Furthermore, there is also the heavy weight of highly fuel-demanding activities within the economy where a majority of the energy consumption corresponds to transport and industry. This situation creates a need to consolidate research and technological development (R&TD) capacities to guarantee an adequate transfer assimilation and deployment of the acquired technology, in order to achieve an appropriate mastery of them.
CTCN Support
Identify a multidisciplinary research and technological development (R&TD) agenda that incorporates collaboration with academia, R&TD centers and the private sector to support the achievement of climate change targets in the key sectors identified in relevant policy frameworks, including NDC and the National Development Plan – Vision 2030.
Expected Impact
Improvement and technological development aimed at increasing energy efficiency and reducing GHGs
Expansion of both the production and use of knowledge to address climate change impact related issues, as well as adaptation actions",,,,
