Company,Predicted Drawdown Solution,Groundtruth Drawdown Solution,Probability Score,Company Description,Drawdown definition,Website
Bamboo capital partners,Bamboo Production,nan,"tensor(0.5263, device='mps:0')",Bamboo Capital Partners is a commercial private equity firm that delivers financial and social returns in healthcare and energy.,"The cultivation and production of bamboo, often regarded as a sustainable, low-carbon alternative material due to its rapid growth.",https://www.bamboocp.com
Lingrove,Bamboo Production,Unknown,"tensor(0.4082, device='mps:0')",Wood Without Trees Lingrove is a new materials startup specializing in high-performance and eco-friendly natural fiber composites. They create bio-composites from plant-based fibers and resins to replace exotic hardwoods and carbon fiber.,"The cultivation and production of bamboo, often regarded as a sustainable, low-carbon alternative material due to its rapid growth.",https://www.lingrove.com
European cyclists' federation,Bicycle Infrastructure,nan,"tensor(0.5784, device='mps:0')","The European Cyclists'​ Federation is the umbrella federation of national cycling organizations across Europe. Since our foundation in 1983, ECF has had one goal: To promote cycling as a sustainable and healthy means of transportation and recreation. Our roots are in Europe, but the challenges we face are global. We believe the bicycle is a solution to many of the world’s woes. We therefore have an ambition to export both ours and our members’ expertise worldwide.","Facilities and structures that support cycling, such as bike lanes and parking solutions, encouraging low-carbon transportation.",https://www.ecf.com
Ride report,Bicycle Infrastructure,nan,"tensor(0.5516, device='mps:0')","We make micromobility work. Ride Report empowers cities around the world to bring new, clean forms of transportation — including shared e-scooters and e-bikes — to life. We are a one-stop shop for the ridership data cities need to keep moving.","Facilities and structures that support cycling, such as bike lanes and parking solutions, encouraging low-carbon transportation.",https://www.ridereport.com
Cascadia carbon,Bicycle Infrastructure,nan,"tensor(0.5449, device='mps:0')","We Build ClimateTech We are building the world’s most advanced, automatic transportation emissions calculator. CODEX connects you to the voluntary carbon offset marketplace, and lets you get paid for you carbon conscious transportation decisions. Bike and walk more and drive less…it all adds up to a greener future.","Facilities and structures that support cycling, such as bike lanes and parking solutions, encouraging low-carbon transportation.",https://www.cascadiacarbon.com
Charge,Bicycle Infrastructure,nan,"tensor(0.5029, device='mps:0')","Building the Infrastructure for the Smart City of the Future Micromobility company dedicated to building the largest network of electric charging, storage and service stations for e-scooters and e-bikes","Facilities and structures that support cycling, such as bike lanes and parking solutions, encouraging low-carbon transportation.",https://www.charge.us
Bounce,Bicycle Infrastructure,nan,"tensor(0.4909, device='mps:0')",Smart. Convenient. Affordable. #ThatsTheWayToMove Bounce - Two Wheel Rentals | Introducing Keyless Bikes With OTP Access | Smart Urban Mobility Solution,"Facilities and structures that support cycling, such as bike lanes and parking solutions, encouraging low-carbon transportation.",https://www.bounceshare.com
Full circle biochar,Biochar Production,nan,"tensor(0.7021, device='mps:0')",Full Circle Biochar develops products and technologies based on bio-charcoal to address the needs of agricultural markets.,"The production of biochar, which is derived by pyrolyzing biomass in a low-oxygen environment, often used for soil enhancement and carbon sequestration.",https://www.fullcirclebiochar.com
Biochar solutions,Biochar Production,nan,"tensor(0.5979, device='mps:0')",Biochar Solutions Inc produces and sells engineered biochar and customized biochar products.,"The production of biochar, which is derived by pyrolyzing biomass in a low-oxygen environment, often used for soil enhancement and carbon sequestration.",https://www.biocharsolutions.com
Red rock biofuels,Biochar Production,nan,"tensor(0.5191, device='mps:0')","Red Rock Biofuels (RRB) develops processing plants to convert woody biomass into renewable, drop-in diesel and jet fuels.","The production of biochar, which is derived by pyrolyzing biomass in a low-oxygen environment, often used for soil enhancement and carbon sequestration.",https://www.redrockbio.com/home.html
Ecoera ab,Biochar Production,nan,"tensor(0.4793, device='mps:0')",Ecoera is a biochar innovation company.,"The production of biochar, which is derived by pyrolyzing biomass in a low-oxygen environment, often used for soil enhancement and carbon sequestration.",https://www.ecoera.se
Bioamber,Biochar Production,nan,"tensor(0.4634, device='mps:0')",BioAmber is a sustainable chemicals firm combining biotechnology and chemical catalysis to convert renewable feedstock into chemicals.,"The production of biochar, which is derived by pyrolyzing biomass in a low-oxygen environment, often used for soil enhancement and carbon sequestration.",https://www.bio-amber.com
Aum energy,Biogas for Cooking,nan,"tensor(0.5422, device='mps:0')","Technology and Project Developer for the Low Carbon Economy At the moment, we are looking at 4 projects - synbio and anaerobic digestion for lignin-rich substrates / gas-to-methanol/DME / sustainable farming / water-from-air. All of these projects have an impact on GHG emissions from reducing food miles, to reducing gas flaring, to bringing now substrates into the bioeconomy. We are based in Asia and always looking for new alliances and partners as we seek to scale and make a larger impact.","Utilizing biogas as an energy source for cooking, typically generated through anaerobic digestion of organic materials.",https://www.aumenergy.com
Sistema.bio,Biogas for Cooking,nan,"tensor(0.5247, device='mps:0')","Sistema.bio is a hybrid reactor biodigester that transforms the manure of animals into biogas and a potent, natural fertilizer.","Utilizing biogas as an energy source for cooking, typically generated through anaerobic digestion of organic materials.",https://www.sistema.bio
Microbio engineering inc.,Biogas for Cooking,nan,"tensor(0.4617, device='mps:0')","MicroBio Engineering is developing near- to mid-term algae-based wastewater treatment, renewable energy and animal feed production systems.","Utilizing biogas as an energy source for cooking, typically generated through anaerobic digestion of organic materials.",https://www.microbioengineering.com
Novonutrients,Biogas for Cooking,nan,"tensor(0.4597, device='mps:0')","NovoNutrients transforms industrial waste CO2 into feed, through industrial biotech, initially for the fast-growing aquaculture sector. NovoNutrients is a fundamentally new way to make the building blocks of food, using natural microbes to break down molecules and reassemble them into lowest-cost feed and food ingredients.","Utilizing biogas as an energy source for cooking, typically generated through anaerobic digestion of organic materials.",https://www.novonutrients.com
Sustainable bioproducts,Biogas for Cooking,nan,"tensor(0.4546, device='mps:0')","Building the future of food with nature's technology Sustainable Bioproducts is a groundbreaking food company born out of NASA-supported research on extremophiles in the geothermal pools of Yellowstone National Park. Our novel fermentation technology produces a sustainable source of complete protein using only a fraction of the resources required by traditional agriculture. As the challenge to feed the world’s expanding population grows, our mission is to create amazing foods that both nourish people and nurture the planet.","Utilizing biogas as an energy source for cooking, typically generated through anaerobic digestion of organic materials.",https://www.sustainablebioproducts.com
California ethanol & power,Biomass Power,nan,"tensor(0.5263, device='mps:0')",California Ethanol & Power produces sustainable renewable low-carbon energy from the right renewable resource sugarcane.,The process of generating electricity by utilizing biomass as an energy source.,https://www.californiaethanolpower.com
Interra energy,Biomass Power,nan,"tensor(0.5175, device='mps:0')",Interra Energy is a manufacturer of clean thermal biomass conversion system for commercial use.,The process of generating electricity by utilizing biomass as an energy source.,https://www.interraenergy.us
Antora,Biomass Power,nan,"tensor(0.4712, device='mps:0')",Antora Energy is electrifying heavy industry with zero-carbon heat and power. We make it possible and profitable to fully rely on renewable energy for industrial processes.,The process of generating electricity by utilizing biomass as an energy source.,https://www.antoraenergy.com
Open nanocarbon,Biomass Power,nan,"tensor(0.4375, device='mps:0')","Find and open the fastest way to generate solid carbon from air and reach gigatonne scale. Open Science consortium to research, develop and open the fastest routes to generate solid carbon from air at scale.",The process of generating electricity by utilizing biomass as an energy source.,https://www.autofracture.com/opencarbon
Sapphire energy,Biomass Power,nan,"tensor(0.4298, device='mps:0')","Sapphire Energy develops products and processes based on photosynthetic microorganisms, and uses sunlight and CO2 as their feedstock.",The process of generating electricity by utilizing biomass as an energy source.,https://www.sapphireenergy.com
Mango materials,Bioplastics,nan,"tensor(0.6734, device='mps:0')","Mango Materials produces biodegradable polymers from waste biogas that are economically competitive with conventional, oil-based plastics. Mango Materials produces biodegradable products from waste biogas.","Plastics derived not from petroleum but from biomass, which are often biodegradable.",https://www.mangomaterials.com
Full cycle bioplastics,Bioplastics,nan,"tensor(0.6448, device='mps:0')",Full Cycle Bioplastics tackles plastic pollution and climate change by transforming organic matter into a compostable alternative to oil-based plastics.,"Plastics derived not from petroleum but from biomass, which are often biodegradable.",https://www.fullcyclebioplastics.com
Marinatex,Bioplastics,nan,"tensor(0.5628, device='mps:0')",MarinaTex manufactures and develops bioplastics and a biodegradable flexible film for home composting.,"Plastics derived not from petroleum but from biomass, which are often biodegradable.",https://www.marinatex.co.uk
Visolis,Bioplastics,nan,"tensor(0.4461, device='mps:0')","Advanced bioengineering combined with chemical processing to provide sustainable, carbon-negative materials.","Plastics derived not from petroleum but from biomass, which are often biodegradable.",https://www.visolisbio.com
Cass materials,Bioplastics,nan,"tensor(0.4212, device='mps:0')","Bacterial NanoCellulose Specialists Working with the environment rather than against it, our vision is to produce innovative eco-tech materials from bacterial nanocellulose that are natural and biodegradable as a sustainable alternative for the global textile industry at a cost competitive price.","Plastics derived not from petroleum but from biomass, which are often biodegradable.",https://www.cassmaterials.com
Ecopilot canada,Building Automation Systems,nan,"tensor(0.5402, device='mps:0')","Ecopilot is Artificial Intelligence for real-time HVAC energy efficiency delivering up to 40% in annual savings. Ecopilot is a clean-tech pioneer in intelligent building management software. Using real-time data to make continuous improvements to a building automation system, Ecopilot's Artifical Intelligence saves heating and cooling costs for building owners while reducing carbon emissions and creating a more comfortable and consistent environment for tenants. Our solution seamlessly integrates into existing building management system for immediate energy cost savings with an average 3 year ROI. Years of research and thousands of successful installations provides all the confidence you need in our technology.",Automated systems in structures that optimize energy efficiency and indoor conditions.,https://www.ecopilotai.com
Activebas,Building Automation Systems,nan,"tensor(0.4994, device='mps:0')",Smart building energy management solution ActiveBAS is a company dedicated to increasing energy efficiency while helping buildings save millions on energy expenses annually. This dynamic energy management is based on automated energy savings algorithms that overlay on the building automation system to maximize savings and performance.,Automated systems in structures that optimize energy efficiency and indoor conditions.,https://www.activebas.com
Community energy labs,Building Automation Systems,nan,"tensor(0.4734, device='mps:0')","Community Energy Labs is bringing to market the first truly scalable AI-powered clean building control system. Our vision at Community Energy Labs (CEL) is to affordably enable communities’ building decarbonization goals by 2030. Our clean building control package is standardized, easy-to-use, and low-cost. Our service offer includes a one time one-day install to retrofit new and existing equipment with sensors and controllers. Once installed CEL charges a fee to monitor, predict and control energy using machine learning. With savings of 5-25% on energy and 20-40% reduction in peak demand, an average CA commercial building portfolio of 200k sq. ft. would pay back its investment in under two months.",Automated systems in structures that optimize energy efficiency and indoor conditions.,https://www.communityenergylabs.com
The energy detective (ted),Building Automation Systems,nan,"tensor(0.4470, device='mps:0')","Energy is a manufacturer of The Energy Detective, a real-time in-home energy management system.",Automated systems in structures that optimize energy efficiency and indoor conditions.,https://www.theenergydetective.com
Encycle,Building Automation Systems,nan,"tensor(0.4315, device='mps:0')","Smart Energy, Smarter Savings Encycle’s patented Swarm Logic® technology is unlike any other HVAC efficiency solution on the market today. Connecting via the cloud to your existing building control system — building automation system (BAS), connected thermostats, or IoT platform — Swarm Logic dynamically synchronizes your HVAC rooftop units (RTUs), transforming the RTUs into smart, networked, energy-responsive assets",Automated systems in structures that optimize energy efficiency and indoor conditions.,https://www.encycle.com
"Aeroseal, llc.",Building Retrofitting,Building Retrofitting,"tensor(0.5797, device='mps:0')",Shrinking carbon emissions from buildings with our climate technologies for duct and air sealing,The modification of existing buildings to improve their energy efficiency and reduce greenhouse gas emissions.,https://www.aeroseal.com
Usgbc,Building Retrofitting,nan,"tensor(0.5776, device='mps:0')",Better buildings equal better lives,The modification of existing buildings to improve their energy efficiency and reduce greenhouse gas emissions.,https://www.usgbc.org
Soletair power,Building Retrofitting,nan,"tensor(0.5516, device='mps:0')",Future cities need carbon neutral solutions. Soletair Power’s technology turns buildings into carbon sinks.,The modification of existing buildings to improve their energy efficiency and reduce greenhouse gas emissions.,https://www.soletairpower.fi
Innoenergy,Building Retrofitting,nan,"tensor(0.4930, device='mps:0')",Pioneering change in sustainable energy,The modification of existing buildings to improve their energy efficiency and reduce greenhouse gas emissions.,https://www.innoenergy.com
Aeroseal,Building Retrofitting,nan,"tensor(0.4902, device='mps:0')","Improving Indoor Air Quality, Comfort and Energy Efficiency in Homes & Buildings with Our Duct & Air Sealing Technology We are on a mission to stop air duct leaks that are costing Americans billions of dollars each year in wasted energy.",The modification of existing buildings to improve their energy efficiency and reduce greenhouse gas emissions.,https://www.aeroseal.com
Liftshare,Carpooling,nan,"tensor(0.5478, device='mps:0')",Set up your own bespoke company carsharing scheme to help your staff commute more sustainably and solve parking problems Journey sharing consumer app,"The practice of multiple individuals sharing one vehicle for transportation, reducing the number of single-passenger trips.",https://www.liftshare.com/uk
Evee,Carpooling,nan,"tensor(0.4461, device='mps:0')",Electric car sharing EV car sharing,"The practice of multiple individuals sharing one vehicle for transportation, reducing the number of single-passenger trips.",https://www.evee.com.au
Cabin,Carpooling,nan,"tensor(0.4118, device='mps:0')","Cabin is the first hospitality transportation company on a mission to make the most of every waking and sleeping moment. Cabin is a hospitality transportation company. Cabin addresses America's ""500 mile problem,"" in which regional travel up to 500 miles from home requires sacrificing an entire day, forcing people to take fewer trips without even knowing it. By consolidating both transportation and accommodation into one simple and delightful experience, Cabin’s one-of-a-kind moving hotel experience enables people to travel without travel time.","The practice of multiple individuals sharing one vehicle for transportation, reducing the number of single-passenger trips.",https://www.ridecabin.com
Electra meccanica,Carpooling,nan,"tensor(0.3309, device='mps:0')","Drawing on a 60 year legacy of building and delivering high-end custom specialty cars, our company has designed and produced a leading edge affordable electric vehicle for the commuter market. ElectraMeccanica Vehicles Corp. (NASDAQ: SOLO) is a Canadian designer and manufacturer of electric vehicles. The company’s flagship vehicle is the innovative purpose built, single-seat electric vehicle called the SOLO. This vehicle will revolutionize commuting, delivery and shared mobility. The SOLO provides a driving experience that is unique, trendy, fun, affordable and environmentally friendly. InterMeccanica, a subsidiary of ElectraMeccanica, has successfully been building high-end specialty cars for 60 years.","The practice of multiple individuals sharing one vehicle for transportation, reducing the number of single-passenger trips.",https://www.electrameccanica.com
Evezy,Carpooling,nan,"tensor(0.2545, device='mps:0')","The all-inclusive electric vehicle subscription solution Evezy is an electric car subscription service that is more flexible than leasing. EVs available with insurance, charging & maintenance.","The practice of multiple individuals sharing one vehicle for transportation, reducing the number of single-passenger trips.",https://www.evezy.co.uk
Prakti,Clean Cooking,nan,"tensor(0.4802, device='mps:0')","Prakti stoves save money by reducing fuel costs. Cookstove designer, manufacturer & distributor. Goal - combat respiratory diseases, poverty & gender inequality contributing to environmental sustainability.",Technologies or methods of cooking that minimize pollution and greenhouse gas emissions.,https://www.praktidesign.com
Fork ranger,Clean Cooking,Health and Education,"tensor(0.4572, device='mps:0')",We translate climate science into stories and recipes so everyone can be part of the solution. Our mission is to use food as starting domino for systematic change.,Technologies or methods of cooking that minimize pollution and greenhouse gas emissions.,https://www.forkranger.com
Sun buckets,Clean Cooking,nan,"tensor(0.4328, device='mps:0')","The only stove that stores the sun’s energy Cook day or night, indoor or out.",Technologies or methods of cooking that minimize pollution and greenhouse gas emissions.,https://www.sunbuckets.com
Bellwether coffee,Clean Cooking,nan,"tensor(0.3974, device='mps:0')","One of the fastest-growing tech companies in the coffee industry. Breaking barriers and winning awards. Join us. Bellwether's ventless, electric, zero-emissions commercial coffee roaster makes roasting more accessible and more sustainable for the environment and our communities. Bellwether Marketplace to give customers access to responsibly sourced green coffee. Bellwether’s Tip the Farmer™ program harnesses the purchasing power of coffee consumers to contribute financially to the coffee farmers who produced the coffee in their cup.",Technologies or methods of cooking that minimize pollution and greenhouse gas emissions.,https://www.bellwethercoffee.com
Terviva,Clean Cooking,nan,"tensor(0.3412, device='mps:0')","Growing the world’s most scalable, cost-effective and environmentally friendly source of oil and protein. TerViva is an Ag-Tech start up focused on sustainably producing vegetable oil and protein through the commercialization of a new orchard crop called Pongamia.",Technologies or methods of cooking that minimize pollution and greenhouse gas emissions.,https://www.terviva.com
Project vesta,Coastal Wetland Protection,nan,"tensor(0.4406, device='mps:0')","Green sand that saves the planet. Using beaches to speed up olivine rock weathering to remove gigaton levels of CO2. The accelerated weathering of olivine is the only method we are aware of to remove CO2 from the atmosphere that is viable with today’s technology, can be done at a reasonable price, and that is scalable to the gigaton level. Our plan is to put this process into action to demonstrate to the world that carbon removal is possible and that it is well past the time we start. Operating as a non-profit, Project Vesta seeks to create a global network of green sand beaches to counter-act the entirety of the total yearly CO2 outputs by humans (and eventually back to pre-industrial levels).",Protecting coastal wetlands to maintain their ecological functions and their role as carbon sinks.,https://www.projectvesta.org
Terrapass,Coastal Wetland Protection,nan,"tensor(0.4378, device='mps:0')",Terrapass uses carbon credits to help finance greenhouse gas reduction and renewable energy projects around the US. Terrapass is a multi-disciplinary team of individuals dedicated to the fight against climate change. Our mission is to provide the resources necessary for companies and individuals to understand and take responsibility for their climate impact. We do this in a number of ways.,Protecting coastal wetlands to maintain their ecological functions and their role as carbon sinks.,https://www.terrapass.com
Climate foundation,Coastal Wetland Protection,nan,"tensor(0.3930, device='mps:0')",Climate Foundation is a nonprofit organization that educates and empowers people to balance carbon on land and sea.,Protecting coastal wetlands to maintain their ecological functions and their role as carbon sinks.,https://www.climatefoundation.org
Seal awards,Coastal Wetland Protection,nan,"tensor(0.3629, device='mps:0')",Seal Awards is an award-giving organization dedicated to environmental advocacy.,Protecting coastal wetlands to maintain their ecological functions and their role as carbon sinks.,https://www.sealawards.com
Environmental defense fund,Coastal Wetland Protection,nan,"tensor(0.3216, device='mps:0')","Environmental Defense Fund is where policymakers and business leaders turn for win-win solutions. Environmental Defense Fund or EDF is a United States-based nonprofit environmental advocacy group. The group is known for its work on issues including global warming, ecosystem restoration, oceans, and human health, and advocates using sound science, economics and law to find environmental solutions that work. It is nonpartisan, and its work often advocates market-based solutions to environmental problems.",Protecting coastal wetlands to maintain their ecological functions and their role as carbon sinks.,https://www.edf.org
Carbo culture,Composting,nan,"tensor(0.6508, device='mps:0')","Hacking the carbon cycle We carbonize biomass waste into biocarbon products for soil and environmental applications. By rapidly converting carbon to a solid and stable form, we prevent it from escaping back into the atmosphere for over 100 years. Our products are frequently used by people and organizations across industries, in agriculture and research, who feel the same environmental accountability as us. With like-minded partners and customers, we're building a new culture of carbon.","The decomposition process of organic waste, converting it into fertilizers or soil amendments while reducing greenhouse gas emissions.",https://www.carboculture.com
The waste transformers,Composting,nan,"tensor(0.6437, device='mps:0')","Turn organic (food)waste into energy, heat & fertilizer, all on your own site in a containerized Waste Transformer. A Waste Transformer turns organic (food)#waste into clean energy & natural fertilizer. Circular waste to value. A local Waste Transformer on site?","The decomposition process of organic waste, converting it into fertilizers or soil amendments while reducing greenhouse gas emissions.",https://www.thewastetransformers.com
Global bioenergies,Composting,nan,"tensor(0.5570, device='mps:0')","Global Bioenergies develops a process for converting plant carbohydrates (sugar, cereals, agricultural waste) into hydrocarbons.","The decomposition process of organic waste, converting it into fertilizers or soil amendments while reducing greenhouse gas emissions.",https://www.global-bioenergies.com/global-bioenergies-widens-cooperation-with-audi/?lang%3den
Not my fault earth,Composting,nan,"tensor(0.5424, device='mps:0')","Calculate and offset your CO2 emissions. Reduce your waste, transition to a sustainable life.","The decomposition process of organic waste, converting it into fertilizers or soil amendments while reducing greenhouse gas emissions.",https://www.nmf.earth
Carbon8 systems,Composting,nan,"tensor(0.5216, device='mps:0')",Carbon 8 Systems provides solutions for the treatment of industrial waste.,"The decomposition process of organic waste, converting it into fertilizers or soil amendments while reducing greenhouse gas emissions.",https://www.c8s.co.uk
Raygen resources,Concentrated Solar Power,nan,"tensor(0.6192, device='mps:0')","Concentrated
  Solar Developer of concentrated solar photovoltaic technology. The company uses computer‐controlled mirrors to direct a concentrated beam of sunlight onto ultra‐efficient solar semiconductor devices.","Harnessing solar energy by concentrating it using mirrors or lenses to produce high temperatures, which in turn generate steam to power turbines for electricity.",https://www.raygen.com
Glasspoint solar,Concentrated Solar Power,nan,"tensor(0.6101, device='mps:0')",GlassPoint provides solar steam generators to the oil and gas industry for applications such as Enhanced Oil Recovery.,"Harnessing solar energy by concentrating it using mirrors or lenses to produce high temperatures, which in turn generate steam to power turbines for electricity.",https://www.glasspoint.com
1366 technologies,Concentrated Solar Power,nan,"tensor(0.5399, device='mps:0')","The Manufacturing Platform for Terawatt Solar Our mission is to provide innovative, production worthy processes, materials and machines that will drive the cost of solar electricity to parity with electricity from coal. We believe that the beauty, simplicity and promise of photovoltaics are as bright as sunlight itself.","Harnessing solar energy by concentrating it using mirrors or lenses to produce high temperatures, which in turn generate steam to power turbines for electricity.",https://www.1366tech.com
Lucent optics,Concentrated Solar Power,nan,"tensor(0.5217, device='mps:0')",Lucent Optics provides solutions for energy efficiency and renewable energy.,"Harnessing solar energy by concentrating it using mirrors or lenses to produce high temperatures, which in turn generate steam to power turbines for electricity.",https://www.lucentoptics.com
Highview power,Concentrated Solar Power,nan,"tensor(0.4978, device='mps:0')","Manufacture Of Electricity Distribution And Control Apparatus HighView Power developed a proprietary cryogenic energy storage technology, based on the principle of air liquefaction. This enables the easy storage of air as a liquid providing high-density storage. When converted back to a gas, generating energy that powers our turbines and produces electricity.","Harnessing solar energy by concentrating it using mirrors or lenses to produce high temperatures, which in turn generate steam to power turbines for electricity.",https://www.highviewpower.com
Soil association,Conservation Agriculture,nan,"tensor(0.5817, device='mps:0')","The Soil Association Charity was formed in 1946 to pioneer a better world – one where we can all farm, eat and live healthily in balance with the environment. Working to promote local, organic based farming","An agricultural practice aimed at improving soil health, increasing biodiversity, and reducing greenhouse gas emissions.",https://www.soilassociation.org
Land institute,Conservation Agriculture,nan,"tensor(0.5633, device='mps:0')",The Land Institute is a science-based research organization working to develop an alternative to current destructive agricultural practices. Our work is dedicated to advancing perennial grain crops and polyculture farming solutions.,"An agricultural practice aimed at improving soil health, increasing biodiversity, and reducing greenhouse gas emissions.",https://www.landinstitute.org
Arable,Conservation Agriculture,nan,"tensor(0.5486, device='mps:0')","A global solution to managing weather risk and crop health, delivering real-time, actionable insights from your field. People can solve natural resource challenges if they possess the right tools. Arable enables data-driven decisions in agriculture and natural resource management using Measurements that Matter.","An agricultural practice aimed at improving soil health, increasing biodiversity, and reducing greenhouse gas emissions.",https://www.arable.com
Soletrac,Conservation Agriculture,nan,"tensor(0.5361, device='mps:0')","It’s our mission to lead the transition to zero-emission regenerative agriculture, and utility operations with best-in-class technology for a safer, cleaner, and healthier future.","An agricultural practice aimed at improving soil health, increasing biodiversity, and reducing greenhouse gas emissions.",https://www.solectrac.com
